Park Name	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Average	latitude	longitude
Rocky Mountain NP	41417	40528	41285	39178	36012	23928	33745	35227	36078	47701	31912	33405	31216	29558	29870	34321	46301	45223	45194	46840	37447	40.333318	-105.708895
Saguaro NP	1594	1560	1683	1424	1208	2203	1447	1552	1295	1599	1599	1568	2033	1545	1610	1377	1846	1868	2339	2058	1670	32.278686	-111.1826
Sequoia NP	76718	65865	88986	59577	75687	24815	18118	21659	20644	23681	36238	21594	22210	21969	26631	29013	32436	36247	36660	37881	38831	36.575495	-118.563428
Shenandoah NP	43913	43489	42563	37895	34572	35814	41239	33284	33668	37615	39083	38147	36571	42133	41419	40644	43348	48825	59763	39980	40698	38.9057503	-78.198082
Theodore Roosevelt NP	1465	971	771	1072	1185	750	634	1110	480	593	798	732	768	891	841	849	529	232	587	614	794	47.238902	-103.625184
Voyageurs NP	16732	16553	18346	17740	17657	18069	18955	19023	18257	18626	17776	35560	21915	28837	21807	31941	50462	46451	53539	59499	27387	48.446194	-93.030433
Wind Cave NP	289	245	401	347	185	230	176	181	168	100	163	296	249	226	219	220	179	493	452	437	263	43.5565147	-103.4783325
Yellowstone NP	41319	39297	43111	43682	46087	38270	33974	37276	38040	39603	39736	45045	37292	40460	40623	41243	44898	44663	43378	41978	40999	44.6622963	-111.0998154
Yosemite NP	87189	106266	100207	125027	85674	82259	70803	81305	76576	137330	158233	125136	103420	168783	172353	190339	211966	216989	167507	124577	129597	37.840548	-119.516588
Zion NP	13614	19720	28142	28767	26368	23027	20603	29028	27446	35746	41933	36544	40344	48932	54336	23257	24655	28248	25470	22964	29957	37.200833	-112.986795
