ID,geo_point_2d,geo_shape,bike_age,crash_time,crash_year,drvr_age
38,35.9070700915; -79.0638927439,"{""type"": ""Point"", ""coordinates"": [-79.0638927439405, 35.90707009152705]}",21,07:49:00 AM,2010,47
39,35.9117170925; -79.0593027432,"{""type"": ""Point"", ""coordinates"": [-79.05930274316084, 35.91171709249585]}",24,04:23:00 PM,2012,22
40,35.9073770935; -79.0209027318,"{""type"": ""Point"", ""coordinates"": [-79.02090273184757, 35.907377093467765]}",39,04:33:00 PM,2011,54
41,35.9142830941; -79.0527067414,"{""type"": ""Point"", ""coordinates"": [-79.05270674136669, 35.91428309405345]}",13,03:13:00 PM,2009,44
42,35.9047850933; -79.0119027289,"{""type"": ""Point"", ""coordinates"": [-79.01190272891274, 35.90478509326122]}",70,07:25:00 AM,2009,25
43,35.9111440925; -79.0637527441,"{""type"": ""Point"", ""coordinates"": [-79.06375274410756, 35.91114409246256]}",38,04:58:00 PM,2010,68
44,35.9117770926; -79.0595887438,"{""type"": ""Point"", ""coordinates"": [-79.059588743836, 35.911777092581104]}",18,06:31:00 PM,2008,23
45,35.9050070926; -79.01642273,"{""type"": ""Point"", ""coordinates"": [-79.01642273003033, 35.90500709257154]}",30,06:33:00 PM,2010,35
46,35.9464471017; -79.0089027296,"{""type"": ""Point"", ""coordinates"": [-79.00890272957379, 35.94644710174162]}",26,03:20:00 AM,2008,34
47,35.9397000987; -79.0546827436,"{""type"": ""Point"", ""coordinates"": [-79.0546827435711, 35.939700098700825]}",32,07:03:00 PM,2010,61
48,35.918262094; -79.0589777438,"{""type"": ""Point"", ""coordinates"": [-79.0589777438042, 35.91826209400781]}",12,04:04:00 PM,2007,22
49,35.9004070914; -79.0408027366,"{""type"": ""Point"", ""coordinates"": [-79.04080273660105, 35.90040709137532]}",19,03:27:00 PM,2012,26
50,35.8452220778; -79.0903127495,"{""type"": ""Point"", ""coordinates"": [-79.09031274951566, 35.84522207781903]}",18,05:35:00 PM,2008,36
51,35.9638401042; -79.0581327461,"{""type"": ""Point"", ""coordinates"": [-79.05813274613807, 35.963840104205616]}",22,04:23:00 PM,2010,54
52,35.9351000002; -79.0561999998,"{""type"": ""Point"", ""coordinates"": [-79.05619999981158, 35.93510000020516]}",12,06:56:00 PM,2013,18
53,35.9141340939; -79.045082739,"{""type"": ""Point"", ""coordinates"": [-79.04508273895367, 35.914134093872065]}",27,12:07:00 PM,2009,22
54,35.9032130918; -79.0479327393,"{""type"": ""Point"", ""coordinates"": [-79.04793273926721, 35.90321309175756]}",20,03:34:00 PM,2010,27
55,35.9089399998; -79.0588999998,"{""type"": ""Point"", ""coordinates"": [-79.05889999975244, 35.908939999779165]}",23,06:49:00 PM,2013,21
56,35.9097320913; -79.0904327522,"{""type"": ""Point"", ""coordinates"": [-79.09043275215946, 35.90973209128756]}",42,07:52:00 AM,2007,58
57,35.9101470919; -79.073202747,"{""type"": ""Point"", ""coordinates"": [-79.07320274701853, 35.910147091900804]}",29,05:58:00 PM,2012,16
58,35.9086970922; -79.0499327405,"{""type"": ""Point"", ""coordinates"": [-79.04993274050086, 35.90869709215578]}",21,05:28:00 PM,2008,24
