oid,gid,pop,labor,unemp,unemppct,blackunemppct,asianunemppct,whiteunemppct,hispanicunemppct,shapearea,shapelen
418,1362104,1155,1023,404,3.3,6.7,6.2,4.5,5.3,777584458.929688,254539.659171343
419,1362216,81,67,56,24.1,36.8,,5.4,,57638559.7456055,39399.5509415557
420,1362328,872,816,232,5.3,6.6,74.9,12,10.3,459080205.124756,188343.359198727
421,1362496,103,81,58,17.1,20.3,,7,,46642706.3286133,39014.8931425922
422,1363560,48,54,55,86.6,,,30.4,,22749114.401123,16980.8759025652
423,1363756,44,44,55,100.4,68.1,367.7,14.4,,29107286.760498,27184.914644778
424,1364512,211,181,56,6.2,1.6,,5.1,183.8,214580238.036743,113726.074246539
425,1364680,49,47,58,83.1,229.8,,29.7,,29471005.6887207,19322.6968757814
426,1364736,175,131,58,11.2,65.7,367.7,8,8.9,78636025.0690918,87667.2698828565
427,1365016,181,132,58,12.8,7.1,,14.6,,90451016.2163086,52635.3289151401
428,1365044,515,458,140,2.5,5.1,27.2,2.5,10.7,680460652.167236,338756.764158974
429,1366024,128,97,68,15.5,18.5,,7.3,,53156431.5997314,35657.5630207191
430,1366668,947,820,290,1.8,4.8,9.6,2,2.7,899849388.043945,844028.817784931
431,1367256,311,233,104,6.7,34.5,,5.3,153.2,50411828.7729492,57714.0140721104
432,1367984,671,517,246,3.3,16.5,17.4,2.9,7.8,697821515.122803,348135.025169047
433,1368096,64,53,54,35.2,22.9,,15.5,167.1,51162912.6724854,27416.4206256419
434,1368208,360,294,116,4.7,6.7,81.4,2.3,,362326693.095947,215748.967241328
435,1368600,44,39,55,84.6,83.6,,31.4,919.2,5166353.4777832,10122.4773970301
436,1369448,107,80,63,18.3,40.9,,7.2,153.2,60786022.9570313,29591.4215954491
437,1369896,51,51,58,123.7,47.1,,229.8,,21825267.6333008,16611.4663157418
438,1370428,66,58,53,20,19.5,,8.5,,63372887.4801025,55223.3898415111
439,1371464,107,57,60,33.1,18.6,,34.7,,69850657.6530762,34267.7178173843
440,1372556,173,129,60,7.7,8.4,131.3,9,26.9,115394897.448303,66717.942074513
441,1373004,65,50,55,32,36.2,,6.6,612.8,48635969.7727051,30020.663938872
442,1373620,83,74,51,20.1,7.8,,18.8,306.4,89260629.8293457,33596.1189069845
443,1374964,373,302,137,4.9,7.8,,7.4,18.6,361004847.265869,168540.977205985
444,1375104,100,64,56,27.8,11.3,229.8,13.3,919.2,28192109.2540283,33864.4661479725
445,1375160,223,176,72,6.9,12.7,114.9,2.8,367.7,141680394.757813,95816.6081727898
446,1375188,417,325,184,7.8,10.8,,8.1,,183956503.815186,117282.095716995
447,1375244,122,103,60,11,8.6,,25.2,131.3,87100864.3364258,33236.8904111782
448,1375328,65,53,58,223.6,,,70.7,,237933137.626953,76113.6523406248
449,1375412,63,59,55,37.3,,,12.3,52.5,79213105.1330566,93884.0029230516
450,1375496,43,50,57,404.2,,,93.8,,24135389.4257813,17467.6580125439
451,1376224,645,582,265,3.4,5.2,,2.3,20.8,422090238.370605,213023.296400903
452,1376280,420,332,133,5.9,10,134,5.1,44.7,122786483.130371,123118.379231058
453,1376476,721,568,167,2.6,4,15,3.7,5.3,356928345.849121,304040.244688162
454,1376504,81,62,56,31.3,,,12.4,153.2,23109964.2993164,17112.8934816703
455,1376532,65,60,55,37.6,19.5,,23.2,,77850033.5454102,31385.3545458074
456,1376756,504,417,228,6.3,18.4,,6.1,28.9,267062888.952148,508499.473527617
457,1376952,54,46,56,71.3,27.9,,87.5,919.2,51905279.9279785,31635.0782601507
458,1377372,187,156,59,6.9,,,4.1,79.9,89661535.9382324,57167.4276277748
459,1378036,324,287,73,4.8,229.8,,3.3,262.6,93964789.5605469,56261.7727247181
460,1378744,72,61,55,26.1,26.9,,10.9,131.3,53143403.4083252,25989.8852001273
461,1378800,1204,1106,427,1.6,2.4,27.2,2.1,6.5,1015401268.83734,482844.717173618
462,1379164,39,47,57,246.8,,,59.1,,11663077.4243164,24270.1287185912
463,1379388,595,494,212,4.4,10.3,40.4,4.2,13.8,509174925.834717,142673.308061792
464,1379416,56,53,56,74.1,189.2,,21.5,230.9,27165713.9440918,18518.7499201666
465,1380480,69,58,56,31.8,28.3,204.3,22,262.6,42797626.1967773,46938.3260846679
466,1380592,153,120,55,8.7,5.2,70.7,6.5,,53647726.6674805,43003.9614794149
467,1380676,87,62,51,28.8,9.3,,10.1,,22636067.376709,18981.0449381659
468,1380844,111,86,53,13.9,6.1,,7.5,459.6,93584816.7580566,39039.9985529017
469,1382132,428,315,101,8,10.9,,7.3,306.4,330344587.205688,224019.908759454
470,1382412,85,69,60,29.9,21.6,,23.7,367.7,33030343.1372681,30516.0046769371
471,1383728,105,85,52,9.8,23.3,367.7,3.9,306.4,73776021.269043,34635.8993813517
472,1383868,164,122,78,11.2,14.4,262.6,4.3,55.7,71646150.303894,75954.152251773
473,1383952,59,50,57,50.5,15.4,,102.1,,22040812.5095215,16742.2676685396
474,1384260,55,54,56,41.8,15.8,,30.9,,136728902.1521,41624.9293248763
475,1384708,56,50,49,24.5,19.2,,7,,24426517.5605469,22375.6885113181
476,1385128,126,83,64,14.4,32.7,,9,612.8,126711531.48584,76153.7127475674
477,1364876,113,83,70,18.8,21,,9.6,58.1,55791158.4156494,100153.56298288
478,1364932,72,50,52,33.8,25.9,,10,204.3,87576369.34375,33249.8506042705
479,1364960,65,52,56,24.4,7.8,,114.9,,317514760.707764,104911.992529325
480,1380256,375,292,97,5.9,3.9,,13.3,9.8,106987840.957642,74994.7729490414
481,1365156,50,48,57,132.8,919.2,,37.7,,21873360.3532715,16604.37319881
482,1365296,522,457,114,2.6,3.1,31.8,2.8,9.1,269654269.47876,165726.594397664
483,1365324,305,238,112,7.1,23.3,28.7,7.4,30.1,137093693.179443,238521.021665772
484,1365856,94,70,55,20.9,17.1,,11.4,,41973495.7578125,25600.3725007255
485,1366276,441,386,101,5,6.8,70.7,6.7,,159324098.556885,195640.721968444
486,1366444,47,44,55,57,70.7,,17.7,262.6,34550436.6171875,20894.5362218053
487,1367452,211,175,62,6.6,11.2,,3.2,459.6,95532620.8530273,39522.0139837724
488,1367760,103,77,51,14.2,16.3,,5,612.8,92139129.0737305,42486.2773459723
489,1368740,101,66,57,20.6,18.2,,5.7,,43587875.4985352,37772.4985791573
490,1368796,49,49,53,44.2,16.6,,36,79.8,21766704.2148438,16582.2754355571
491,1369000,1720,1554,659,0.9,1.5,2,1,3.6,3036228542.9812,1147653.21369766
492,1376364,207,186,67,4.7,6.4,61.3,3.1,39.4,43803263.7617188,43011.8097400128
493,1369336,74,72,57,32.8,43.8,,10,,40705425.7380371,26616.5643992584
494,1369784,74,69,57,37.1,141.4,,23.8,21.9,24529345.3417969,27229.5819750747
495,1381128,215,178,54,4.9,5.3,,2.6,229.8,5860800985.67932,394435.182791148
496,1370120,117,86,65,17.9,13.9,,19.7,,87785288.4362793,33769.7892832104
497,1370932,60,49,51,32.5,10.9,1838.5,18.8,,34601090.3205566,20887.262599005
498,1371282,38,35,58,90.8,,,28.7,,85508838.5405273,49496.5490056486
499,1371772,230,168,74,7.2,5.2,,11.3,,124475254.294434,89378.9050194531
500,1377736,110,93,58,9.9,114.3,,8.1,27.4,53609679.4924316,125564.018471119
501,1372584,156,110,60,13.6,9.3,919.2,22.7,,50975405.2446289,32888.0435939515
502,1372780,243,205,79,6.1,21.3,,3.5,229.8,76731575.4541016,98244.415282819
503,1373256,1088,788,329,2.2,4.4,14.1,2.2,8.8,424103249.382813,202829.413239364
504,1374348,47,46,55,75,66.8,,29.5,,22056562.425293,16818.0316828098
505,1374376,332,238,127,8.3,24.5,,7.1,122.6,111901313.481445,67527.3019595891
506,1374432,65,57,54,29.9,25.3,,6.3,,49381450.8126221,44525.9616555762
507,1374852,47,43,51,66.9,49.3,,12.7,1838.5,21607826.6038818,16570.7159275875
508,1375272,44,44,57,162.1,,,43,,41469264.1066895,45830.3460618102
509,1375300,361,273,116,8.4,29.2,,7.5,,280349756.970215,236789.558792657
510,1375888,152,122,54,8.1,9.4,,6.7,306.4,49788914.0864258,42942.579691322
511,1376168,486,380,176,4.8,8.5,,4.8,87.8,271404117.487061,198363.783792342
512,1377540,181,145,56,5.4,57.5,204.3,2.7,13,107244920.501465,51430.5405826375
513,1377988,199,112,65,11.9,10.7,459.6,12.3,,100820042.91748,42198.5110145239
514,1378100,98,78,52,14.9,11.1,,5.8,102.1,22266491.5581055,18104.8473489257
515,1378156,353,220,73,9.9,8,,10.7,21.9,169520945.428589,106705.075333022
516,1379444,325,281,136,8.1,8.8,,8.6,37.5,153046433.808716,74757.0647948507
517,1378380,139,114,54,8.5,6.3,,5.7,65.7,54177496.9802246,37729.0836877374
518,1378996,169,149,61,6.3,108.1,69.4,2.8,18.9,106134410.090576,353978.557657322
519,1379808,69,67,55,29,367.7,,7.6,,51167764.1520996,47872.5018976912
520,1379864,191,113,70,12.6,11.8,,8,83.6,128305270.80957,54584.2382144891
521,1380508,1493,1315,489,1.4,2.3,8.8,2,7,1024042373.43408,1026777.13981336
522,1380704,250,194,91,6.2,7.9,43.8,4.2,,216135229.283203,91032.3183233968
523,1380788,205,184,63,4.3,13.3,55.7,3.2,37.5,92113360.1499023,50002.7494968575
524,1380956,569,447,110,2.3,3.3,30.7,2.7,12,333764317.481323,255341.036830116
525,1380984,376,313,84,4.4,2.1,282.8,10.5,67,154147202.019287,64904.1065750173
526,1382692,43,45,52,56.3,47.6,,6.8,,140690099.786133,78512.3671281338
527,1382972,173,140,62,10.4,18,,19,6.6,106527456.109863,52244.6468035105
528,1383084,71,57,55,23.5,30.2,,8.7,55.7,36691707.3608398,39349.4885407322
529,1383896,149,116,63,12.4,8.7,,11.9,,57574244.9677734,38129.0815875258
530,1384456,215,165,69,9.1,8,,9,44.8,87582613.7167969,58665.1375094099
531,1384512,385,270,195,10.9,17.6,,6.7,,100465713.473389,73501.022772406
532,1384960,167,111,61,12.9,42.4,,6.6,34.7,26549785.0588379,25068.1698266269
533,1303440,1387,1273,554,0.9,1.8,4.2,1.2,2.8,3293612048.3999,309536.22579351
534,1327708,43,38,51,44.7,,,7.4,,102997732.32959,115792.75583336
535,1340056,145,109,64,8.8,73.3,55.6,6.1,46,72584143.5615234,53454.5921280808
536,1342156,64,56,54,31,25.5,,11.5,,36240701.9628906,39283.7905165156
537,1348008,109,80,51,15,8.7,,4.9,,88819960.2177734,38702.4799295377
538,1356308,79,63,55,16.2,183.8,1838.5,2.6,81.8,69488631.2441406,38628.3897135066
