oid,gid,pop,labor,unemp,unemppct,blackunemppct,asianunemppct,whiteunemppct,hispanicunemppct,shapearea,shapelen
117,1373784,1823,1554,622,2.2,2.2,44.2,14.8,9.8,1058163675.78149,213817.933807647
118,1304000,3606,3015,1258,0.5,1,1.3,0.3,1.8,3808011477.26807,585248.196332895
119,1374180,861,764,226,2,6.5,5,2.3,4.6,305607536.103516,400883.055788802
120,1384176,1022,933,230,1.5,5.7,7.8,1.5,2.7,349010042.053467,328239.051632949
121,1343192,1298,1162,318,1.6,3,4.8,2.3,3.8,272467591.628418,293966.375662057
122,1300184,192,64,57,30.7,21.4,,15.3,,86208470.4256592,34300.0038689625
123,1301024,129,100,64,18.9,16.2,,12.6,,28635963.9920654,22865.9928487899
124,1304980,260,210,78,5.6,53.8,102.1,5,6.5,136595186.72998,180636.086773617
125,1306016,372,280,114,6.9,14.6,63.4,7.4,10.9,223270507.265625,637992.19774978
126,1308284,332,255,81,7.4,7.9,,7.3,,143463972.351807,193845.493945351
127,1308480,120,79,58,38.6,,,15.1,167.1,30991532.6066895,25098.6375270677
128,1309068,154,134,61,8.3,35.9,70.7,4.4,30.1,66279742.7661133,39406.9875615178
129,1311672,44,48,56,65.9,32,,32.5,,22355377.8251953,18007.0722719544
130,1312932,113,70,55,20.1,73.5,,9.8,167.1,87191315.8112793,35099.039782371
131,1313352,124,102,57,15.8,102.1,55.7,3.8,,82516956.9255371,91172.9484240755
132,1314108,116,90,52,11.3,35.6,,5.3,,102685648.359131,110408.997256892
133,1315984,310,280,83,5.8,39.1,,4.5,,71935588.9624023,99718.4488501505
134,1317328,338,222,105,7,14.9,,3.4,31.7,135981782.393433,120202.818840053
135,1319616,612,477,330,7.2,8.7,36.3,2.4,16.2,284911702.771851,268840.57400705
136,1321240,839,637,256,7.9,20.9,,9.6,5.8,242033211.200684,236436.995845767
137,1321744,91,75,51,10.9,11.6,,3.3,70.7,138364789.114197,56288.6717396301
138,1322024,92,80,56,22,55.7,459.6,4.5,,22986335.159668,20655.2929912782
139,1323284,73,55,56,31.5,40.9,,6.6,,35292076.3937988,30332.7487462307
140,1323480,45,53,55,125.6,82.1,,104.3,83.2,12897281.8682861,14376.8656507631
141,1325552,404,335,166,7,9.8,44.7,6.9,24.5,181339423.939819,188146.809706886
142,1327932,122,109,56,9.9,306.4,306.4,4,10.1,34799035.0344238,67334.7180719168
143,1300576,355,287,94,4.9,6.5,,3.3,22.2,247653168.51239,190701.429039904
144,1300660,102,80,58,23.1,27.2,,9.2,,39577482.4018555,26198.1135291578
145,1300828,87,74,65,22.2,22.7,,15.2,306.4,60761055.6289063,35246.1672267891
146,1300996,360,169,55,10.1,8.4,,2.3,,56145786.3032227,35486.6164787237
147,1311616,158,117,64,9.8,14.3,,8.7,459.6,47379524.5161133,55058.3627627594
148,1301052,927,905,564,1.7,2.4,12.8,1.7,6.9,1556029070.99939,322382.082116319
149,1304084,79,68,55,24.5,15.3,,29.5,22.5,22194223.1141357,16756.0509021187
150,1301248,50,54,55,71,183.8,,21.7,459.6,7119208.71533203,18469.9304855809
151,1372122,,,,,,,,,2376619424.71997,1236430.89835393
152,1301472,104,82,53,15.6,4.3,,17.2,30.9,31599446.8551025,19974.2287405938
153,1301500,40,44,56,131.7,79.4,,96.8,,128331879.303955,62886.8944998928
154,1301612,264,196,78,6.8,11.4,40,5.3,,173481414.019775,110212.261592936
155,1301808,39,45,55,93.8,150.9,,26.6,,80165383.0166016,32459.439149513
156,1301948,126,95,52,11.3,102.1,153.2,3.7,8,31617738.2167969,37427.3662674693
157,1302060,70,65,56,42.9,91.9,,20.5,33.4,87398743.3149414,33186.3397122396
158,1311504,109,90,53,17.6,34.2,,9,25.5,93678771.5516357,42646.2785807626
159,1302116,609,504,263,3.7,4.7,50.5,4.4,12.1,321062055.823853,291879.635215411
160,1302256,45,51,50,67.6,28.1,,15.3,167.1,38658333.8701172,28425.42036117
161,1302564,86,57,57,25.7,55.5,,11.6,,179589766.021118,63721.8922128362
162,1302592,172,139,65,10.4,19.6,,8.3,262.6,30871848.0161133,67606.0633152615
163,1314500,579,484,194,4.7,13.8,,6.2,7.1,256607999.880371,348626.774593854
164,1302648,154,119,57,7.7,31.7,,5.2,459.6,258233279.484375,229074.20931348
165,1302844,55,56,53,59.9,24.9,,27.1,,47951595.9971924,24614.0543746978
166,1302928,166,122,82,11.2,9.5,131.3,16.7,,111691289.580872,42289.222337678
167,1303124,59,54,54,29.6,43.8,,4,,47431544.3769531,27824.2186948245
168,1303236,343,264,124,9,9.9,,10.4,15.3,133780269.906982,70785.3683111945
169,1304204,1426,1621,874,1,1.7,3.8,1.3,5.8,8549686093.72168,713641.331095585
170,1304392,60,62,58,58,54.3,,30.1,183.8,49280709.7507324,24982.8824422444
171,1304448,44,40,56,43.7,1838.5,,11.3,,18126958.0202637,15597.6043290237
172,1305680,60,57,56,45.9,19.1,,28.8,,31530159.9628906,23563.5014097975
173,1304840,111,77,69,23.2,23.8,,25,,54399448.394043,38650.4245553874
174,1304896,536,441,191,4.4,7.4,53.4,5,21.1,559897357.888977,219487.039663846
175,1325356,130,106,53,18.4,54.1,,5.9,21.4,94903779.3066406,107647.202283796
176,1327092,300,276,60,5.2,25.2,919.2,6.5,3,98795261.5068359,224382.019747942
177,1305344,464,317,171,6.6,7.5,,10.9,70.7,170636929.960449,166587.137769453
178,1305708,66,59,53,30.7,34.9,,14.8,36.8,20882552.3097534,16725.9829142067
179,1306688,46,51,57,101.6,,,25.5,,28222512.3369141,21195.3150053324
180,1307304,70,58,56,28.2,21.4,,17.2,44.8,23290165.3370972,49077.7102646736
181,1308200,52,51,57,37.4,1838.5,459.6,10.9,83.6,22015306.5351563,16687.8390796545
182,1308536,260,185,119,7.4,12.1,102.1,2.8,52.5,492388807.10083,108166.916890293
183,1308844,217,185,78,5.9,8.4,459.6,5.3,35.4,392170314.078613,132458.031379209
184,1308928,140,106,69,13.2,,,16,46,74609821.7380371,113759.662447523
185,1308956,47,48,58,92.3,306.4,,32.3,,44824656.7446289,26740.6946656651
186,1309040,72,59,54,19.8,28,,4.5,96.6,79806809.1037598,49589.4275172843
187,1309460,123,102,59,10.7,13.1,,5.2,27.9,62914300.2455444,31721.6277739366
188,1309488,59,57,55,32.5,141.4,,10.5,,87530186.8051758,33178.08148709
189,1309656,66,60,54,25.3,21.8,,3.5,153.2,91456714.2192383,43140.9522865254
190,1309712,106,64,48,18,12.6,,8.5,141.4,87542897.416748,33172.8019740486
191,1310608,52,48,57,76.4,141.4,612.8,28.5,,56886354.5211792,34756.2281854996
192,1310860,48,51,56,74.5,33.9,,49.1,,22030827.7099609,17279.3953167677
193,1321912,252,214,100,5.8,5.5,,9.4,,104597007.809692,51833.8599524675
194,1311000,160,132,63,6.9,38.2,122.6,4.5,43.2,94001455.5153809,50659.4032926707
195,1311560,678,574,198,2.7,4.1,25.5,3.8,6.7,705354046.175659,169830.085436453
196,1311728,226,189,72,7.9,7.1,,19.5,16.7,91251976.842041,36114.5409571429
197,1312120,229,179,100,10.2,14.2,,6.7,459.6,91019633.2623291,36295.8260871678
198,1312232,71,57,55,35.1,17.4,,36.8,45,10088355.4180908,14787.95036358
199,1312260,460,427,91,3.8,2.2,43.9,4.1,28.4,244880958.501221,213222.668494896
200,1312344,96,39,53,49.1,170.8,459.6,6.6,,35844187.9824219,23992.079166029
201,1312400,535,449,180,4.5,6.2,101.8,6.8,9,275087999.988892,142450.26146551
202,1312456,672,552,172,2.6,8.2,39.8,3.6,2.7,437687988.907227,740920.613829152
203,1312512,52,59,58,72.7,30.1,,459.6,,22145155.5192871,16747.5087759569
204,1312624,372,309,172,7,9.8,363.7,9,318.2,184371668.99176,170602.407213151
205,1313212,57,46,53,33.6,114.9,,12.6,219.2,28138008.2131348,26856.7963408756
206,1314192,64,57,58,49.6,27,,32.8,,27132080.5080566,33062.493381781
207,1314920,537,471,118,3.4,6.9,22.3,3.1,14.2,111302286.648682,131959.068806109
208,1315026,66,52,54,24.7,118.4,0,10.2,,91344658.0432129,33972.323050698
209,1315508,382,307,105,6.3,53.1,49.7,6.6,11.3,148472435.572998,160554.183479431
210,1315648,59,55,56,39,30.6,,15.3,108.1,48125806.4367676,25473.4742759837
211,1315900,485,47,53,40.6,20.1,919.2,18.3,612.8,24639105.3100586,25015.6360404688
212,1316460,148,120,56,7.7,25.3,,4.3,30.6,69285565.3208008,78061.8939785597
213,1319728,357,262,87,6.3,19.4,,2.8,9.4,117188383.254883,180570.333018533
214,1316600,212,174,70,7.2,9.9,91.9,3.1,59.3,48918683.9875488,38086.9981129199
215,1321268,50,51,57,106.1,919.2,,49.3,114.9,28414099.4743652,21318.7420904999
216,1316656,182,145,66,8.4,367.7,,7.2,8.6,94546449.8496094,48508.9439632104
217,1322976,102,96,58,25.4,,262.6,13.7,20.2,49821498.125,66114.6410070788
218,1316824,400,318,61,3.8,68.1,229.8,1,48.4,107132505.384521,76472.0106215199
219,1316908,39,42,57,81,114.9,,27.1,612.8,22251278.2301636,16784.8123643364
220,1317272,62,60,56,34.1,79.9,,12.5,57,18964931.1647949,15546.4382458385
221,1317832,85,76,54,27,25.9,,8.4,68.3,28837828.3581543,22571.0486856835
222,1317496,71,59,53,17.2,,1838.5,3.1,,130411531.731201,144368.006589979
223,1317552,98,80,57,19.2,229.8,,4.8,262.6,28520237.4916992,31124.4876603762
224,1319084,135,112,55,9.4,17.4,63.4,5,183.8,90987427.5422363,37517.7894087919
225,1321632,132,76,61,16.5,49.7,306.4,12.9,1838.5,41251590.7316895,59883.130002319
226,1318000,180,144,67,7.8,3.6,,6.1,,230570918.172546,92942.6538466132
227,1319000,1130,1411,683,0.8,1.3,3.6,0.9,3,6160861391.33948,435414.873820784
228,1319112,399,330,122,4,14.4,96.8,4.1,7.6,340188009.914795,364603.146935442
229,1319168,38,36,53,54.9,104,,9.6,153.2,23299907.4804688,23423.0275446992
230,1319392,76,63,53,28.1,31.2,,10.5,153.2,22822299.3408813,19725.1077739058
231,1320288,93,72,60,24.1,15,306.4,16.9,,32720543.598877,24019.7007282697
232,1320316,73,61,52,20.6,5.5,,18.2,79.5,87447367.6525879,33214.3319106349
233,1320848,49,47,55,53.7,24.1,,21.3,,22143731.3696289,16918.250915749
234,1321017,432,283,153,5.7,8,28.5,7.6,9.1,7001128026.31763,478428.249845068
235,1321072,327,266,124,9.8,9.9,,11.9,145.5,85278602.8218994,37349.4921024922
236,1321380,1013,901,330,2.1,6.6,9.6,3.5,2.9,573254065.520752,587888.028053382
237,1321436,64,55,57,65.9,30.7,,51.8,459.6,49318015.628418,24939.8409995692
238,1321688,42,49,54,167.1,1838.5,,49.1,,21995354.6906738,16757.1047038455
239,1321716,341,288,96,6.7,7.2,,10.3,14.8,671097840.272705,243011.678176071
240,1321800,223,61,52,29.3,9.3,,9.5,96.8,85194893.486084,54608.7069081639
241,1321940,193,155,75,6.7,87.5,141.4,5.1,114.9,239368376.730957,316574.945165146
242,1322108,42,42,57,108,,,29.5,,24653886.3898926,18638.8647209199
243,1322304,218,149,70,7.8,40.9,,6.6,19,63337125.4924316,51027.3084734953
244,1322388,47,48,55,77.8,60.2,,26.8,,42985447.8116455,23309.6144824072
245,1322472,56,54,56,57.4,16,,102.1,183.8,22731472.9812012,17598.6460014009
246,1322752,81,68,53,20.7,11.8,459.6,6.5,,21905273.9938965,16684.3170955427
247,1324488,88,77,54,14.1,27.9,,2.6,153.2,95389854.9035645,88552.5951739603
248,1325300,206,159,59,7.1,3.8,0,6.3,70.7,123116187.69873,154027.935961586
249,1323368,199,153,65,7.6,7.8,141.4,5.7,262.6,111267785.335388,42227.9054368819
250,1323872,590,506,129,3,2.5,471.4,5.5,10.5,409366872.903442,246277.34202811
251,1324376,499,404,130,2.3,3.7,24.2,2.3,57.7,445930839.616943,468395.381045913
252,1324796,53,52,58,149.1,65.7,,167.1,,21825193.2594604,16585.6264425472
253,1326084,567,524,199,5.7,9.2,,9.1,4.3,574571973.193604,85091.7295565138
254,1326156,265,233,65,3.8,52.5,,4.2,4.2,11730959023.5955,525383.06646904
255,1326224,54,55,58,2906.9,,,919.2,,5151894.25488281,8081.50041057189
256,1326448,140,105,67,15.3,10.9,,61.2,102.1,65233417.9543457,32666.0557606357
257,1326616,342,247,88,5.5,7.9,,7,12.4,127245168.906494,156069.309289907
258,1326980,151,109,79,8.8,12.3,,6.8,37.4,88507833.7768555,35004.8972530239
259,1327008,52,50,58,342,262.6,,459.6,306.4,22160826.8383179,16748.8063819991
260,1327596,118,78,54,18,229.8,,6.4,64.3,91532423.1875,37949.7681259918
261,1328492,119,93,62,13.8,131.3,919.2,8.8,919.2,49893943.8588867,62481.0538060806
262,1328744,57,59,57,50.9,71.4,,20.4,919.2,76884027.71875,45714.5276985622
263,1330088,93,77,48,14.4,5.5,90.5,7.7,72.5,133070344.521851,77720.9903099768
264,1330732,305,234,155,8.6,12.1,59.4,11.1,,164211588.040771,212391.729517861
265,1331096,500,336,176,4.7,5.9,62.1,11,14.2,208982107.891602,248380.53481241
266,1331292,119,79,69,16.7,26,,13.4,0,97118753.036377,42582.0424148279
267,1331684,93,72,57,21.8,22.7,919.2,8.4,73.5,32448127.7293091,27745.3092221
268,1332048,612,535,161,3.8,8.6,15.4,3.3,2.6,404762828.87915,156089.615704611
269,1332188,50,54,58,75.5,63.4,,38.3,,22182184.1171875,16724.1029983799
270,1332412,41,47,57,141.9,75.1,,83.6,,21933803.3417969,16717.5782880898
271,1333392,139,69,67,33.3,19.4,,20.3,,52612753.8839111,25799.6642217435
272,1333980,134,100,63,9.9,8.1,,12,229.8,151664068.49707,57925.357119193
273,1335716,899,661,333,5.9,9.8,35.5,8.1,4.8,147573394.044922,130147.532135218
274,1335884,182,141,57,6.8,5.8,,2.9,96.8,89941594.0749512,136759.902137264
275,1336920,66,45,55,30.5,12.3,,23.6,,49271170.5720215,24927.5528799411
276,1337144,352,266,76,5.5,7,48.4,5.7,16.9,142980208.942871,144855.217724788
277,1337396,613,369,163,11.1,15.7,,4.4,,149909440.526489,206638.81186078
278,1337788,64,57,56,35.3,,1838.5,5.3,,60617791.4692383,53715.2995500895
279,1339748,199,128,70,10.7,13,,10.6,,97885717.8911133,121210.949078407
280,1340532,53,46,56,55,367.7,,17,262.6,8925843.07763672,14611.0811433223
281,1340812,72,62,59,48.1,23.7,,54.1,,32195877.9912109,26374.9924664852
282,1341344,51,42,56,73.7,167.1,,24.2,367.7,22259034.7391357,16763.6878468211
283,1341400,81,72,58,23.4,15.3,,25.9,40.9,87677617.2822266,33247.0085548139
284,1341540,90,75,57,16.1,0,,5.5,,84057883.467041,52727.1481337998
285,1341708,50,52,58,193.8,167.1,,108.1,,31117837.6055908,19822.379031411
286,1341792,53,50,57,70,61.3,,25.8,,34574731.9833984,30362.9892686038
287,1343640,677,591,166,2.1,6.8,31.6,1.8,3.4,1249670443.43152,700676.570770131
288,1345936,83,63,56,21.4,19.2,,8.6,91.9,45268967.0905762,50830.0920332862
289,1346020,72,61,54,26.8,13.1,122.6,25.8,55.7,49429586.9468994,24981.6914283975
290,1346188,49,49,57,65.3,204.3,,17.4,,15276623.6657715,19246.7897596229
291,1347560,239,172,84,7.9,9.3,459.6,6.1,73.5,102587060.09668,91610.3548677087
292,1347784,310,234,97,9.5,12.7,0,12.6,16.4,65285031.0223389,50745.208373168
293,1349532,357,267,74,5.4,3.1,,7.1,,224367426.289551,131034.670472613
294,1350484,203,165,56,5.7,21.9,919.2,1.4,612.8,124918918.281738,110798.180024067
295,1350596,44,47,58,149.1,367.7,,57.5,,14708012.7041016,15739.6962456951
296,1350680,101,65,53,13.2,9.4,,9.7,32.9,44601120.7035522,28609.8389268742
297,1351352,144,103,54,6.2,6.4,131.3,9.1,17.4,179950434.980225,119616.355848578
298,1351492,825,617,319,4.4,7.8,13.7,5.1,4.6,571543688.917969,452524.735846857
299,1352108,58,47,54,38.5,40.9,,14.4,612.8,48531707.9482422,24728.3584726216
300,1352696,201,51,57,72.7,44.8,,35.5,919.2,36502886.2840576,28237.385136822
301,1353060,569,493,207,3.7,6.3,36.3,5.9,6.3,468975665.112183,376369.693443544
302,1354124,124,64,67,30.1,63.9,,22.8,,79055770.5126953,42801.9980961619
303,1354264,301,234,116,6.8,6.9,,7.5,87.5,131153756.419434,118003.691335458
304,1355244,93,79,56,23.1,16.8,229.8,3.9,96.8,84054831.140686,43178.3547233414
305,1355440,377,71,52,21,14.5,,8,919.2,51656891.2681885,43309.2752634808
306,1355468,166,128,58,7.8,229.8,204.3,5.7,17.5,111429309.729004,113587.833518856
307,1355860,113,88,57,14.4,23.6,,7.8,48.7,87378715.979248,33295.8973039552
308,1357372,87,72,56,21.9,32.6,114.9,11,104.7,26620265.0476074,24179.6877241417
309,1358184,160,117,56,13.2,34.7,612.8,12.4,10,50298323.9180908,25147.3926105523
310,1360984,66,49,54,46.6,40.3,,25.1,367.7,28436441.6655273,21530.3876404798
311,1361320,57,44,55,40.2,19.7,,51.1,93.3,54481127.6687012,29553.5925674287
312,1361628,74,53,58,34.6,23.5,,23.3,229.8,22691232.6943359,19574.7392592246
313,1363000,51,48,57,97,229.8,,43.2,122.6,22285315.1745605,16759.4912691284
314,1363728,121,86,53,12.5,41.1,262.6,5.2,108.1,31977535.732605,27684.7032328722
315,1363840,56,47,63,54.7,367.7,167.1,32.1,229.8,21899291.0539551,16591.2078031292
316,1364372,34,39,57,126.2,1838.5,1838.5,31.6,,21914656.1357422,16595.5908954512
317,1364596,194,163,58,7.2,11,612.8,3.3,40,5691268.46386719,10580.8176810569
318,1329528,447,334,119,4.5,4.8,,6.4,25.5,253471574.435791,435339.037950664
319,1330312,104,85,60,17.9,20.9,,13.8,459.6,54571582.371582,46357.4532824505
320,1330424,576,287,144,9.3,15.8,97.9,4.9,195.8,116949841.005859,154435.792967116
321,1330816,105,64,66,20.5,16.1,,61.5,,214673772.407227,77331.6199777406
322,1330956,566,501,134,3.1,9.5,21.6,2.5,149.7,387485355.149414,302605.002929035
323,1331320,118,89,55,16.5,24.2,306.4,7.2,40.8,61257889.9611816,31593.8807387917
324,1332384,42,42,58,153,,,54.1,459.6,24058179.3789063,21653.3545297165
325,1335016,142,96,66,14.7,16,,22.9,153.2,65746005.0073242,69934.5872984813
326,1332528,169,139,69,8.7,9.2,35.4,4.4,0,4476102985.57959,324162.76959592
327,1332748,87,62,52,19.6,229.8,,5.4,,28982863.1000977,42166.5052900602
328,1332916,43,53,53,58.4,25.9,,7.7,,89301101.0620117,37786.1860389811
329,1333336,315,210,100,8.5,26.3,,4.2,41.7,199747582.883423,120185.120145347
330,1349504,49,53,58,145.3,,,46,,21651067.6223145,16550.1667817751
331,1334260,54,47,56,88.3,183.8,,34.2,229.8,48769477.2961426,26244.0837448066
332,1334512,267,219,54,4,7.7,,2.5,204.3,110340182.703369,129727.104227199
333,1334876,259,213,113,8.2,10.2,65.7,8.7,27.2,189517415.577637,179628.51208877
334,1335800,47,43,52,42.5,,,19.5,183.8,22528561.5244141,23795.0854931983
335,1338964,745,649,335,2.2,3.6,7.2,3.3,4.4,509352366.155273,255617.004552336
336,1336024,101,92,56,13.4,35,204.3,2.2,28.3,60109941.5129395,37036.5883433236
337,1336052,212,181,57,4.8,9.3,262.6,2.2,17.8,78152549.9786377,72153.7295486931
338,1336220,129,101,63,12.9,15.4,262.6,7.8,919.2,95155300.5318604,143554.245618923
339,1336696,240,213,60,4.4,5.5,59.3,3,153.2,176337746.226563,154193.311167112
340,1357456,62,60,58,60.5,77.9,,29.7,,36190173.5495605,33291.3778621708
341,1337564,397,309,123,8.4,9.9,,16.3,10.5,134107768.957275,86564.7678413446
342,1338040,306,257,89,4.6,5.9,43.8,1.7,31.7,545632933.784912,167119.154088116
343,1357568,85,80,54,20.1,612.8,,8.1,40.9,91422575.8225098,34943.9156559747
344,1359500,78,73,58,24,39.1,,6.5,,73881257.1911621,101746.796684322
345,1338124,98,75,56,24.9,,,7.6,73.5,57895941.4101563,30011.477377532
346,1338348,62,57,58,40.6,52.5,,21.8,63.4,87999449.6875,33383.7082226874
