Waterbody,County,StockSched,Designatio,RainbowTro,BrownTrout,BrookTrout,Notes,HeritageDa,NationalFo,NoFallStoc,FWVA_Trout,FWVA_Rainb,FWVA_Brown,FWVA_Brook,FWVA_Wild,GlobalID
Elk Creek Upper A,Grayson,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{D6F54796-2711-4788-83CA-F95BE41EEDBE}
Elk Creek Lower,Grayson,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{9F37FA9F-0E14-45BA-95A1-403842273C55}
Elk Creek Upper B,Grayson,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{19D95C6E-677A-43DE-89C1-A95023393485}
Little Wilson Creek,Grayson,SR,SR,"1","0","1","9"" Minimum","0","0","0","1","1","0","1","0",{94CA49FB-BA2F-4C7F-919F-E67E056E3441}
Mill Creek,Grayson,SR,SR,"1","0","0","9"" Minimum","0","0","0","1","1","0","0","0",{56ECAC88-02EB-491A-8928-6C9CD2165DED}
South River (Waynesboro),Augusta,SR,SR,"1","1","1",Catch and Release,"0","0","0","1","1","1","1","0",{06AAB2F6-CA1E-4B40-9176-7BC80248633A}
Peters Mill Run,Shenandoah,C,PNT,"0","0","1",,"0","1","0","1","0","0","1","0",{4740A78D-1091-436D-AC30-073B1EE83C65}
South River (Ridgeview Park),Augusta,A,PNT,"1","0","0",,"0","0","0","3","1","0","0","0",{FC0B5A9B-564D-4185-9DB7-165895B2024D}
Falls Hollow,Augusta,C,PNT,"0","0","1",,"0","1","1","1","0","0","1","0",{48F7BCC1-9191-4C97-8A91-9EDF767FE0D2}
Smith Creek,Alleghany,C,PNT,"0","0","1",,"0","1","0","1","0","0","1","0",{739281C0-BBAF-4634-89E0-FC92E43CC94D}
Roaring Run,Botetourt,B,PNT,"1","1","1",,"0","1","0","1","1","1","1","0",{D0F95F95-A221-4E36-AC26-54083F5CD38F}
Glade Creek,Roanoke,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{93EE79F5-D487-46E6-AE8B-98E3C413128B}
Big Brumley Creek,Washington,C,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{2B83430F-337F-4E42-AC82-C2BC15E611F4}
Little Tumbling Creek Section B,Tazewell,B,PNT,"1","0","1",,"0","0","0","1","1","0","1","0",{9C9F0437-B01A-46CC-A80E-286C056A295A}
South Fork Holston River (Buller Dam),Smyth,A,PNT,"1","0","0",,"0","1","0","3","1","0","0","0",{C4DC94A0-89F7-416F-9984-72856E9EA67E}
Big Tumbling Creek,Washington,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{0421B4E6-053E-4936-95B2-DAEFAF6FB4E9}
McFalls Creek,Botetourt,C,PNT,"1","0","0",450 trout stocked per year.,"0","1","0","1","1","0","0","0",{3C0FAE12-7382-425D-B0E2-F8B402538DEB}
Holliday Creek,Appomattox,DH,DH,"1","0","0",Within State Forest,"0","0","0","1","1","0","0","0",{D3A03BA1-222C-4C23-9C6A-8D1004B7DE92}
South River(Basic Park),Augusta,YTH,YTH,"1","1","1",Youth only waters are stocked 3 times annually.,"0","0","0","1","1","1","1","0",{CCDC1BC4-E9C5-417B-93F7-6CD82F983347}
Ivy Creek(Peak's View Park),Lynchburg,YTH,YTH,"1","0","0",Youth only waters are stocked 3 times annually.,"0","0","0","1","1","0","0","0",{FDC4FBE3-935A-4542-B687-A92D0F5D6702}
South Fork Powell River(Dunford Park),Tazewell,YTH,YTH,"1","1","1",Youth only waters are stocked 3 times annually.,"0","0","0","1","1","1","1","0",{CEBBD1C6-6F97-44A7-81C6-67B918B1E5D0}
Powell River,Wise,DH,DH,"1","1","0",,"0","0","0","1","1","1","0","0",{A65FCB3C-0C65-405B-B0BA-F2AF41929BA9}
Indian Creek,Lee,DH,DH,"1","1","0",,"0","0","0","1","1","1","0","0",{1856875B-A54A-48FD-B8AB-912D4175C562}
Big Moccasin Creek,Scott,DH,DH,"1","0","0",,"0","0","0","1","1","0","0","0",{473984C8-5A34-47E5-9E22-3C4F64688630}
Little Tumbling Creek,Smyth,SR,SR,"0","0","0",Catch and Release,"0","0","0","1","0","0","0","0",{3A7151EC-7CC1-4B8E-BC38-B48808581322}
Wilson Creek,Bath,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{1D0520F6-9A68-4A7A-9386-A64DA96099DC}
Davis Mill Creek,Amherst,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{88E88599-29CE-4430-BBCD-2ABE1AFFA6F6}
Helton Creek,Grayson,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{B4E19376-7DB1-41F6-9668-8724166CEC55}
Dry River,Rockingham,,WT,"0","0","0",,"0","0","0","1","0","0","0","3",{CA1A453E-010A-4F76-BC33-6922F385CA0E}
South River,Augusta,SR,SR,"1","1","0",20” minimum. 1 trout limit. Fly fishing only. Requires written landowner permit.,"0","0","0","1","1","1","0","0",{FAB00FD8-801F-4A5E-B088-496AF9CD7D62}
South River (Grottoes),Rockingham,A,PNT,"1","1","1",,"0","0","0","3","1","1","1","0",{F25DE5DB-51CA-479D-84F1-C026D3DC5B83}
Tennessee Laurel,Washington,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{57E51842-D22F-4211-B23F-8ED580C7E522}
South Mayo River (NF),Patrick,C,PNT,"1","1","0",,"0","0","0","1","1","1","0","0",{050E67EA-A906-4349-BAB3-F9403BBF0717}
South Mayo River (SF),Patrick,C,PNT,"1","1","0",,"0","0","0","1","1","1","0","0",{F4054BB8-E707-49C7-BD2D-FF5C604234A9}
West Fork Reed Creek,Wythe,C,PNT,"1","0","0",,"0","1","0","1","1","0","0","0",{3B2ACB9A-467F-4DE7-9383-78490C841162}
Accotink Creek,Fairfax,DH,DH,"1","1","0",On Fairfax County Park Authority land,"0","0","0","1","1","1","0","0",{D2B3627D-FD41-46C9-9669-DA39B64A25DD}
Holmes Run,Fairfax,DH,DH,"1","1","0",,"0","0","0","1","1","1","0","0",{C3A4BBD8-C888-47A7-A344-B6C6138F414E}
South Mayo River (SF),Patrick,C,PNT,"1","1","0",,"0","0","0","1","1","1","0","0",{3A1D51C6-30E8-4B7A-89D6-249D4CBDCBA3}
