Waterbody,County,StockSched,Designatio,RainbowTro,BrownTrout,BrookTrout,Notes,HeritageDa,NationalFo,NoFallStoc,FWVA_Trout,FWVA_Rainb,FWVA_Brown,FWVA_Brook,FWVA_Wild,GlobalID
Stony Creek,Giles,A,PNT,"1","0","0",,"0","0","0","3","1","0","0","0",{E684435B-6344-471C-8A7A-2C006FDEC125}
Stony Creek,Giles,A,PNT,"1","0","0",,"0","0","0","3","1","0","0","0",{B252D8C6-3A8D-43C2-B4B9-39A2D30C652C}
Dismal Creek,Giles,B,PNT,"1","0","1",Rainbow trout may be stocked at lower end.,"0","1","1","1","1","0","1","0",{448EFDD4-E678-429C-B17F-3D539D2D166D}
Little Irish Creek,Amherst,C,PNT,"0","0","1",,"0","0","0","1","0","0","1","0",{EC7A3172-4942-4C9A-8D05-2430F8DDB2BC}
Mill Creek,Giles,SR,SR,"1","0","1","9"" Minimum. Town of Narrows property.","0","0","0","1","1","0","1","0",{6138FD46-360A-4843-AF5F-9933172E69D7}
Wolf Creek,Giles,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{D3A4B2B2-A03B-46A7-8040-E6EFC0FA5C58}
Laurel Fork Creek,Bland,C,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{E7BBE512-174F-4B45-BB37-425115684580}
Wolf Creek,Bland,A,PNT,"1","0","0",,"0","0","0","3","1","0","0","0",{83FD4E29-A20F-44F3-900C-14709650ED8E}
Helton Creek,Grayson,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{E11A0C4A-29A2-4C95-B20E-46B9D7499901}
Roanoke River (City),Roanoke,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{83490FB1-9B5B-45EB-B400-8E92E3C8940F}
Tinker Creek,Roanoke,A,PNT,"1","1","0",,"1","0","0","3","1","1","0","0",{96F043D7-2CCF-439A-B4CA-572168346693}
Roanoke River (Salem),Roanoke,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{41ED7942-EBDF-4677-BEC7-D13C79A8EC27}
Roanoke River (Salem),Roanoke,DH,DH,"1","1","0",,"0","0","0","1","1","1","0","0",{C94560BE-6B92-408C-8E30-AC08C6141981}
Pigg River,Franklin,A,PNT,"1","1","0",,"1","0","0","3","1","1","0","0",{844E9EFE-982C-4B12-B570-4810457192CE}
Goose Creek,Floyd,B,PNT,"1","1","0",,"0","0","0","1","1","1","0","0",{00C50512-11DE-41BD-ABB8-8F82CA6974BB}
Little Stony Creek,Giles,SR,SR,"1","0","1","9"" Minimum","0","0","0","1","1","0","1","0",{5475FFA5-D9D8-4737-916A-E610920F3CC6}
Frying Pan Creek,Dickenson,C,PNT,"1","1","0",,"0","0","0","1","1","1","0","0",{6040F80A-DAE9-42F2-80A6-F9266CD2FDBF}
Dismal River Section B,Buchanan,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{F6BCC55D-6519-449C-977F-CC0A1A787713}
Roanoke River (GHP),Roanoke,DH,DH,"1","1","0",Green Hill Park,"0","0","0","1","1","1","0","0",{861E1290-827B-4227-9A97-6E6480368357}
Pound River,Dickenson,SR,SR,"0","1","0","16"" Minimum. 2 trout limit, Only area below Flannagan Dam","0","0","0","1","0","1","0","0",{7F342E39-2297-4DBB-B5C3-1A3901296BD0}
Fox Creek,Grayson,B,PNT,"1","1","0",,"0","0","0","1","1","1","0","0",{B2B61CB5-0499-473A-B284-900AC732D143}
Chestnut Creek,Carroll,DH,DH,"1","0","0",,"0","0","0","1","1","0","0","0",{74F0D4D4-D56A-4B11-84C2-9A7012CDD281}
Big Wilson Creek,Grayson,SR,SR,"1","0","1","9"" Minimum","0","0","0","1","1","0","1","0",{AB86F35B-265F-4494-A813-65A97395074E}
Cranesnest River,Dickenson,B,PNT,"1","1","0",,"0","0","0","1","1","1","0","0",{AEC6A694-914A-4EA4-B9F5-D0F420AF82AF}
"Russell Fork River (Bartlick, Garden Hole)",Dickenson,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{FA0D6FD3-B37F-4D60-85BC-5BB90898692A}
Poverty Creek,Montgomery,C,PNT,"1","0","0",,"0","1","0","1","1","0","0","0",{8FD2CB80-52EE-4AAB-8549-DCBACB7E9970}
East Fork Stoney Fork,Wythe,C,PNT,"1","0","0",Not contiguous - 2 Gaps,"0","1","0","1","1","0","0","0",{F7118CD6-CA35-4953-886B-50CC2B2D27EB}
Little Indian Creek,Floyd,B,PNT,"1","0","1",,"0","0","1","1","1","0","1","0",{23ADD6A2-7C75-4A1F-8997-A1CCECFC7D38}
Big Wilson Creek,Grayson,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{DAF2DAAB-33AB-4173-8E60-CF260D73169A}
Toms Creek,Montgomery,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{BC323370-BD98-433E-AAE5-259A28F32E83}
Rush Fork,Floyd,C,PNT,"1","0","1",,"0","0","1","1","1","0","1","0",{37B6B294-A7EA-4865-8939-16F6C9A0838E}
Pound/N.F. Pound River,Wise,DH,DH,"1","0","1",,"0","0","0","1","1","0","1","0",{165DAF46-0B1D-49A8-9166-8D31263BB972}
Russell Fork River,Buchanan,C,PNT,"1","0","0",Includes Hurricane Creek section.,"0","0","0","1","1","0","0","0",{1CEBEB2D-58D2-4138-810F-1F2B841ACFFD}
Dismal River Section C,Buchanan,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{933E3ED8-3525-4C60-BC6F-BE80A91722D3}
Laurel Fork,Floyd,B,PNT,"0","0","0",,"0","0","0","1","0","0","0","0",{03E52C00-5F3D-47B5-9BF3-90E1BEAFAFB4}
Big Stony Creek,Scott,B,PNT,"1","0","0",Mountain Fork (upper portion) - brook trout fingerling stocking.,"0","0","0","1","1","0","0","0",{4AF295C1-2883-42B7-BC03-10C3506299D8}
Stock Creek,Scott,B,PNT,"1","0","0",Kids FIshing Day Stream.,"0","0","0","1","1","0","0","0",{39095959-192C-4FBA-AB61-C5A774EE985D}
Mountain Fork,Scott,SR,SR,"0","0","1",Fingerlings stocked once a year in spring,"0","1","0","1","0","0","1","0",{A792E054-C0E6-4506-AABA-045A0AC0407C}
Little Stony Creek Section A,Scott,B,PNT,"1","0","1",,"0","1","0","1","1","0","1","0",{176A3B5B-1BE5-45CE-8174-85B2792CD782}
Little Stony Creek,Scott,SR,SR,"1","1","1",Fingerlings stocked once a year in spring,"0","1","0","1","1","1","1","0",{47A61810-2664-4A5C-8109-97ABE9F9EAE2}
Clear Creek,Wise,C,PNT,"1","0","0",,"0","1","0","1","1","0","0","0",{C2CF3FC9-7D27-43AD-9B2A-07C3425B4241}
Little Stony Creek Section B,Scott,B,PNT,"1","0","1",,"0","1","0","1","1","0","1","0",{383E5928-25CF-46C2-86A6-4328B5E4F1A7}
Big Cedar Creek,Russell,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{37AC32AC-1658-4CE9-90D8-050F9ECFD166}
Whitetop Laurel Upper Section B,Washington,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{A081822F-8306-4B11-9909-0B659756CBE9}
Laurel Creek,Tazewell,C,PNT,"0","0","1",,"0","1","0","1","0","0","1","0",{EAF39215-9442-40FF-B245-E3E48EAD842A}
Whitetop Laurel Lower,Washington,SR,SR,"1","1","0","12"" Minimum. 6 trout limit. Only above Taylors Valley","0","1","0","1","1","1","0","0",{06E9A74D-5AF5-46F1-A797-A8575B95DFD9}
Brumley Creek,Washington,SR,SR,"0","1","0",Catch and Release.,"0","0","0","1","0","1","0","0",{75A4B173-C315-45D3-ADB7-DB02DF94B5C7}
Big Tumbling Creek,Washington,FF,FF,"1","1","0",Feefishing takes place from the first Saturday in April to September 30.,"1","0","0","1","1","1","0","0",{B349381D-1E6D-47A1-8497-127D8A974CC7}
Whitetop Laurel lower Section D,Washington,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{F11C0BED-BBDA-4B51-B2C5-D0FF1F042390}
Dickey Creek Section A,Smyth,C,PNT,"1","0","0",,"0","1","0","1","1","0","0","0",{B9BC2489-9819-4800-867E-B7F0199EB86D}
Laurel Bed Creek,Russell,FF,FF,"1","1","0",Feefishing takes place from the first Saturday in April to September 30.,"1","0","0","1","1","1","0","0",{35164109-BF87-4105-B013-DBDB45C86277}
South Fork Holston River Lower B,Smyth,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{5972E394-34E8-4590-AE7A-6340A8FBF936}
Whitetop Laurel Upper,Washington,SR,SR,"1","1","0","12"" Minimum. 6 trout limit. Only below Taylors Valley","0","1","0","1","1","1","0","0",{3F475A1C-6AAE-4FAF-BDF6-C9BA5C74210C}
Straight Branch,Washington,C,PNT,"1","0","0",,"0","1","0","1","1","0","0","0",{8EBFA0A6-54F2-4095-ADF4-ECE018E129F8}
Middle Fork Holston River Upper B,Smyth,B,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{045FC69E-23DA-4141-945E-2D5635140AD5}
Dickey Creek Section B,Smyth,C,PNT,"1","0","0",,"0","0","0","1","1","0","0","0",{B5374214-6C05-45ED-B344-934A72AADC18}
Roaring Fork,Tazewell,SR,SR,"0","0","1",Catch and Release.,"0","0","0","1","0","0","1","0",{477DA3EF-2390-4AE7-ADCD-43537B6028FF}
Martins Creek Section A,Lee,A,PNT,"1","0","1",,"0","0","0","3","1","0","1","0",{0814B0BD-89D6-44DD-BDFE-C2DA77C762E9}
North Fork Powell River,Lee,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{6E73F911-E00C-4DF4-A163-1922FB9E6BC5}
Whitetop Laurel Upper Section A,Washington,A,PNT,"1","1","0",,"0","0","0","3","1","1","0","0",{B3B5D970-09B0-4EC9-80C8-8D1E99B7AA17}
Comers Creek,Smyth,C,PNT,"1","1","0",,"0","1","0","1","1","1","0","0",{B6F27530-6CFE-40C4-9566-67045CBEA32B}
